"longitude","latitude","school_code","countyMatch","isSchool"
-122.0485615,36.9545294,6049910,1,1
-121.985494,36.983807,6118673,1,1
-122.1348294,37.1683572,110007,1,1
-121.762232,36.870418,6108138,0,1
-121.9641267,36.9607842,126920,1,0
-121.7687573,36.9391228,4430229,1,1
-122.254045,37.1042299,6049621,0,1
-122.0757969,37.0846699,6049845,1,1
-121.7609297,36.9112738,102665,1,1
-122.1379461,37.1715411,6109946,1,0
-121.8766308,36.9596231,6049779,1,1
0,0,6049795,0,0
-122.014062,36.9803398,6049852,1,1
-121.9781835,37.0028444,6049977,1,1
-122.074014,37.086294,4430179,1,1
-121.9563765,36.9858668,6049985,1,1
-122.0390027,36.9880021,6069397,1,0
-121.7731037,36.9215172,6108146,1,1
-121.985588,36.983256,100388,1,1
-121.894882,36.977213,6049811,1,1
-121.9988489,37.0677665,6049951,1,1
-122.0490723,36.9785224,6049928,1,1
-122.3549782,40.5757377,118984,1,1
-122.3549782,40.5757377,120170,1,1
-122.3285972,40.5548517,6050215,1,1
-122.2939851,40.4361684,6050132,1,1
-122.3334524,40.7158911,6050066,1,1
-122.2686718,40.6315045,6050074,1,1
-122.3477913,41.36654,6050082,0,1
-122.378973,40.543827,6050462,1,1
-122.343957,40.6009293,6111470,1,1
-122.4035107,40.6302496,6050090,1,1
-121.649083,40.885029,6050272,1,1
-122.4019898,40.5567932,6050116,1,0
-122.3166511,41.142911,6050165,1,1
-121.9413857,40.7912662,6050173,1,1
-122.2417501,40.5611766,111674,1,1
-122.2417501,40.5611766,6113567,1,1
-122.3086073,40.5821819,6050181,1,1
-122.2797706,40.3867208,121640,0,1
-122.381675,40.575151,6050470,1,1
-122.2797976,40.3871785,6050199,0,1
-121.9360574,40.5135722,6119325,1,1
-122.3320398,40.3580925,6120323,0,1
-121.4417017,41.0071705,6050280,1,1
-122.3515522,40.6829948,6050579,1,1
-122.471956,40.541817,6050330,1,1
-122.4013217,40.6201674,115568,1,1
-122.4482448,40.4742868,6097703,1,1
-122.5411243,40.5032058,6050355,1,1
-122.2369081,40.5518087,6050397,1,1
-122.3826071,40.5625877,6050488,1,1
-122.3590484,40.5485775,6050223,1,1
-122.4125044,40.581336,6050512,1,1
-122.2871175,40.456151,6050140,1,1
-122.1193384,40.5767907,6050405,1,1
-122.3496123,40.5776967,6050231,1,1
-122.388205,40.537855,6117931,1,1
-122.2808356,40.3857087,111393,0,0
-122.2298966,40.5936356,6050421,1,1
-122.3334524,40.7158911,6117840,1,1
-122.3065628,40.4477066,6114508,1,1
-122.274942,40.479797,6050454,1,1
-122.3543088,40.561368,115345,1,1
-122.3543088,40.561368,6116990,1,1
-122.4022453,40.6195013,113407,1,1
-122.3571147,40.5632054,6050256,1,1
-122.4878775,40.5905242,6050546,1,1
-122.3708419,40.6804279,110221,1,1
-122.3362472,40.5665957,6050264,1,1
-122.3982783,40.6294488,6069389,1,1
-122.3725449,40.5308735,6116925,1,1
-122.38923,40.524182,6050538,1,1
-122.283284,40.4551499,6050587,1,0
-122.383942,40.597069,6101612,1,1
-122.3327844,40.4664053,6050157,1,1
-120.2496191,39.6863816,6050629,1,1
-122.4056981,41.6247262,6050652,1,1
-121.9241874,41.9639899,6050702,1,1
-122.4314796,41.457274,6050678,1,1
-122.564176,41.705189,6050694,1,1
-122.2738838,41.2270386,6050710,1,1
-122.8940643,41.4578527,6050728,1,1
-122.643783,41.725113,6067136,1,1
